num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count
200,10,round_robin,100,103.71032571792603,17,90117.95891245111,90117.95891245111,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,18,90118.00484995148,90118.00484995148,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,19,90118.05781922214,90118.05781922214,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,20,90118.12333461917,90118.12333461917,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,21,90118.1659105026,90118.1659105026,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,22,90118.23116707493,90118.23116707493,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,23,90118.2836262286,90118.2836262286,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,24,90118.34488182433,90118.34488182433,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,25,90118.36780912956,90118.36780912956,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,26,90118.36772732029,90118.36772732029,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,27,90118.3560034118,90118.3560034118,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,28,90118.31753812275,90118.31753812275,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,29,90118.2957106565,90118.2957106565,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,30,90118.27467299865,90118.27467299865,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,31,90118.24397414627,90118.24397414627,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,32,90118.20226196937,90118.20226196937,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,33,90118.19171693182,90118.19171693182,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,34,90118.17842281667,90118.17842281667,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,35,90118.14992986273,90118.14992986273,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,36,90118.1506034575,90118.1506034575,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,37,90118.16689729337,90118.16689729337,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,38,90118.1548629368,90118.1548629368,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,39,90118.14110209867,90118.14110209867,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,40,90118.11051856108,90118.11051856108,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,41,90118.0530443248,90118.0530443248,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,42,90117.9929100887,90117.9929100887,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,43,90117.94225110441,90117.94225110441,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,44,90117.88197970335,90117.88197970335,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,45,90117.85683171886,90117.85683171886,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,46,90117.82897317082,90117.82897317082,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,47,90117.79239921666,90117.79239921666,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,48,90117.74618042063,90117.74618042063,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,49,90117.7032869358,90117.7032869358,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,50,90117.68185747902,90117.68185747902,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,51,90117.65504124625,90117.65504124625,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,52,90117.64131946262,90117.64131946262,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,53,90117.64158273551,90117.64158273551,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,54,90117.64270387143,90117.64270387143,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,55,90117.62188790845,90117.62188790845,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,56,90117.61570570053,90117.61570570053,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,57,90117.61171897565,90117.61171897565,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,58,90117.59623325194,90117.59623325194,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,59,90117.5877091817,90117.5877091817,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,60,90117.59130294393,90117.59130294393,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,61,90117.57051610535,90117.57051610535,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,62,90117.53914155242,90117.53914155242,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,63,90117.51637571494,90117.51637571494,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,64,90117.51655600485,90117.51655600485,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,65,90117.5320434092,90117.5320434092,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,66,90117.55941972535,90117.55941972535,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,67,90117.5801024009,90117.5801024009,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,68,90117.5987627703,90117.5987627703,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,69,90117.61514950647,90117.61514950647,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,70,90117.62397194613,90117.62397194613,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,71,90117.61305742606,90117.61305742606,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,72,90117.6098349185,90117.6098349185,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,73,90117.6205266199,90117.6205266199,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,74,90117.62151729925,90117.62151729925,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,75,90117.6032160849,90117.6032160849,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,76,90117.58383745924,90117.58383745924,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,77,90117.5655756795,90117.5655756795,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,78,90117.54746779827,90117.54746779827,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,79,90117.52605983347,90117.52605983347,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,80,90117.50438967247,90117.50438967247,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,81,90117.47055497312,90117.47055497312,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,82,90117.43612842544,90117.43612842544,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,83,90117.40774389943,90117.40774389943,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,84,90117.38810377818,90117.38810377818,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,85,90117.38196874154,90117.38196874154,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,86,90117.37746674096,90117.37746674096,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,87,90117.36285409078,90117.36285409078,0.0,0.0,200,0,0
